year,name,committedTo,position,stars,city,lat,lng,count
2010,Ronald Powell,Florida,DE,5,"Moreno Valley, CA",37.9768525,-122.0335624,1
2011,Jadeveon Clowney,South Carolina,DE,5,"Rock Hill, SC",37.9768525,-122.0335624,1
2012,Dorial Green-Beckham,Missouri,WR,5,"Springfield, MO",37.9768525,-122.0335624,1
2013,Robert Nkemdiche,Ole Miss,DE,5,"Loganville, GA",37.9768525,-122.0335624,1
2014,Leonard Fournette,LSU,RB,5,"New Orleans, LA",37.9768525,-122.0335624,1
2015,Trenton Thompson,Georgia,DT,5,"Albany, GA",37.9768525,-122.0335624,1
2016,Rashan Gary,Michigan,DT,5,"Paramus, NJ",37.9768525,-122.0335624,1
2017,Jaelan Phillips,UCLA,DE,5,"Redlands, CA",37.9768525,-122.0335624,1
2018,Trevor Lawrence,Clemson,QB,5,"Cartersville, GA",37.9768525,-122.0335624,1
2019,Nolan Smith,Georgia,DE,5,"Bradenton, FL",37.9768525,-122.0335624,1
2020,Bryan Bresee,Clemson,DT,5,"Damascus, MD",37.9768525,-122.0335624,1
2021,Korey Foreman,USC,DE,5,"Corona, CA",37.9768525,-122.0335624,1
2010,Seantrel Henderson,Miami,OL,5,"Saint Paul, MN",32.5221828,-93.7651944,1
2011,Cyrus Kouandjio,Alabama,OL,5,"Hyattsville, MD",32.5221828,-93.7651944,1
2012,Mario Edwards,Florida State,DT,5,"Denton, TX",32.5221828,-93.7651944,1
2013,Jaylon Smith,Notre Dame,LB,5,"Fort Wayne, IN",32.5221828,-93.7651944,1
2014,Myles Garrett,Texas A&M,DE,5,"Arlington, TX",32.5221828,-93.7651944,1
2015,Trent Thompson,Georgia,DT,5,"Albany, GA",32.5221828,-93.7651944,1
2016,Dexter Lawrence,Clemson,DT,5,"Wake Forest, NC",32.5221828,-93.7651944,1
2017,Najee Harris,Alabama,RB,5,"Antioch, CA",32.5221828,-93.7651944,1
2018,Justin Fields,Georgia,QB,5,"Kennesaw, GA",32.5221828,-93.7651944,1
2019,Kayvon Thibodeaux,Oregon,DE,5,"Thousand Oaks, CA",32.5221828,-93.7651944,1
2020,Bryce Young,Alabama,QB,5,"Santa Ana, CA",32.5221828,-93.7651944,1
2021,JC Latham,Alabama,OL,5,"Bradenton, FL",32.5221828,-93.7651944,1
2010,Robert Woods,USC,ATH,5,"Gardena, CA",43.4200387,-83.9490365,1
2011,La'el Collins,LSU,OL,5,"Baton Rouge, LA",43.4200387,-83.9490365,1
2012,D.J. Humphries,Florida,OL,5,"Charlotte, NC",43.4200387,-83.9490365,1
2013,Vernon Hargreaves III,Florida,CB,5,"Tampa, FL",43.4200387,-83.9490365,1
2014,Jabrill Peppers,Michigan,ATH,5,"Paramus, NJ",43.4200387,-83.9490365,1
