school,color,logos,lat,lng
Air Force,#004a7b,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png']",38.99690743,-104.843688
Akron,#00285e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']",41.07256952,-81.50838375
Alabama,#690014,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",33.20748994,-87.55039215
Appalachian State,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png']",36.2115153,-81.68550611
Arizona,#002449,"['http://a.espncdn.com/i/teamlogos/ncaa/500/12.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png']",32.22834023,-110.9490395
Arizona State,#942139,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",33.426364,-111.932616
Arkansas,#9c1831,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']",36.06785079,-94.17879581
Arkansas State,#e81018,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']",35.8489901,-90.66769494
Army,#ce9c00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png']",41.38708043,-73.96408081
Auburn,#03244d,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",32.60236167,-85.48891068
Ball State,#DA0000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png']",40.21602764,-85.41769962
Baylor,#004834,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']",31.55866264,-97.11560011
Boise State,#09347A,"['http://a.espncdn.com/i/teamlogos/ncaa/500/68.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/68.png']",43.60270805,-116.19591240000001
Boston College,#88001a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/103.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png']",42.33510835,-71.16647243
Bowling Green,#2b1000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/189.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/189.png']",41.378054399999996,-83.62248212
Buffalo,#041A9B,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png']",42.99906838,-78.77751946
